task,model,variant,cfg_label,score,score_col
ArguAna (Retrieval),Llama,base,max+indices(idx1-8),0.19381,Score
ArguAna (Retrieval),Llama,base,eos+indices(idx25-32),0.05609,Score
ArguAna (Retrieval),Llama,base,eos+last4,0.05365,Score
ArguAna (Retrieval),Llama,base,eos+last,0.04549,Score
ArguAna (Retrieval),Llama,base,eos+indices(idx13-20),0.01327,Score
ArguAna (Retrieval),Llama,base,eos+indices(idx1-8),0.00944,Score
ArguAna (Retrieval),Llama Instruct,instruct,mean_no_special+indices(idx25-32),0.50186,Score
ArguAna (Retrieval),Llama Instruct,instruct,mean+indices(idx25-32),0.50075,Score
ArguAna (Retrieval),Llama Instruct,instruct,idf_mean+indices(idx25-32),0.49668,Score
ArguAna (Retrieval),Llama Instruct,instruct,mean_no_special+last4,0.48939,Score
ArguAna (Retrieval),Llama Instruct,instruct,mean+last4,0.4893,Score
ArguAna (Retrieval),Llama Instruct,instruct,idf_mean+last4,0.48365,Score
ArguAna (Retrieval),Llama Instruct,instruct,mean_no_special+last,0.43194,Score
ArguAna (Retrieval),Llama Instruct,instruct,mean+last,0.43177,Score
ArguAna (Retrieval),Llama Instruct,instruct,idf_mean+last,0.41705,Score
ArguAna (Retrieval),Llama Instruct,instruct,mean_no_special+indices(idx13-20),0.4084,Score
ArguAna (Retrieval),Llama Instruct,instruct,mean+indices(idx13-20),0.40377,Score
ArguAna (Retrieval),Llama Instruct,instruct,idf_mean+indices(idx13-20),0.40206,Score
ArguAna (Retrieval),Llama Instruct,instruct,max+indices(idx25-32),0.37568,Score
ArguAna (Retrieval),Llama Instruct,instruct,mean_no_special+indices(idx1-8),0.36903,Score
ArguAna (Retrieval),Llama Instruct,instruct,max+last4,0.36752,Score
ArguAna (Retrieval),Llama Instruct,instruct,mean+indices(idx1-8),0.36204,Score
ArguAna (Retrieval),Llama Instruct,instruct,idf_mean+indices(idx1-8),0.3442,Score
ArguAna (Retrieval),Llama Instruct,instruct,max+indices(idx13-20),0.31313,Score
ArguAna (Retrieval),Llama Instruct,instruct,max+last,0.25709,Score
ArguAna (Retrieval),Llama Instruct,instruct,max+indices(idx1-8),0.19614,Score
ArguAna (Retrieval),Llama Instruct,instruct,eos+last4,0.04734,Score
ArguAna (Retrieval),Llama Instruct,instruct,eos+indices(idx25-32),0.04693,Score
ArguAna (Retrieval),Llama Instruct,instruct,eos+last,0.04092,Score
ArguAna (Retrieval),Llama Instruct,instruct,eos+indices(idx13-20),0.01089,Score
ArguAna (Retrieval),Llama Instruct,instruct,eos+indices(idx1-8),0.00973,Score
Banking77 (Classification),LLaDA,base,mean+last4,0.5963636363636363,Score
Banking77 (Classification),LLaDA,base,mean_no_special+last4,0.5963636363636363,Score
Banking77 (Classification),LLaDA,base,mean+indices(idx25-32),0.5751948051948053,Score
Banking77 (Classification),LLaDA,base,mean_no_special+indices(idx25-32),0.5751948051948053,Score
Banking77 (Classification),LLaDA,base,idf_mean+last4,0.5712662337662338,Score
Banking77 (Classification),LLaDA,base,max+last4,0.543603896103896,Score
Banking77 (Classification),LLaDA,base,idf_mean+indices(idx25-32),0.5426298701298702,Score
Banking77 (Classification),LLaDA,base,max+indices(idx25-32),0.5154545454545455,Score
Banking77 (Classification),LLaDA,base,mean+last,0.494512987012987,Score
Banking77 (Classification),LLaDA,base,mean_no_special+last,0.494512987012987,Score
Banking77 (Classification),LLaDA,base,idf_mean+last,0.4883766233766234,Score
Banking77 (Classification),LLaDA,base,max+last,0.4229545454545454,Score
Banking77 (Classification),LLaDA,base,max+indices(idx1-8),0.3672402597402597,Score
Banking77 (Classification),LLaDA,base,mean+indices(idx1-8),0.2973376623376623,Score
Banking77 (Classification),LLaDA,base,mean_no_special+indices(idx1-8),0.2973376623376623,Score
Banking77 (Classification),LLaDA,base,idf_mean+indices(idx1-8),0.2713961038961039,Score
Banking77 (Classification),LLaDA,base,max+indices(idx13-20),0.2401623376623376,Score
Banking77 (Classification),LLaDA,base,idf_mean+indices(idx13-20),0.2331493506493506,Score
Banking77 (Classification),LLaDA,base,mean+indices(idx13-20),0.2329870129870129,Score
Banking77 (Classification),LLaDA,base,mean_no_special+indices(idx13-20),0.2329870129870129,Score
Banking77 (Classification),LLaDA,base,eos+last4,0.228538961038961,Score
Banking77 (Classification),LLaDA,base,eos+last,0.2096428571428571,Score
Banking77 (Classification),LLaDA,base,eos+indices(idx25-32),0.173051948051948,Score
Banking77 (Classification),LLaDA,base,eos+indices(idx1-8),0.0346428571428571,Score
Banking77 (Classification),LLaDA,base,eos+indices(idx13-20),0.0246103896103896,Score
Banking77 (Classification),LLaDA Instruct,instruct,mean+last4,0.724935064935065,Score
Banking77 (Classification),LLaDA Instruct,instruct,mean_no_special+last4,0.724935064935065,Score
Banking77 (Classification),LLaDA Instruct,instruct,mean+indices(idx25-32),0.6972727272727273,Score
Banking77 (Classification),LLaDA Instruct,instruct,mean_no_special+indices(idx25-32),0.6972727272727273,Score
Banking77 (Classification),LLaDA Instruct,instruct,mean+last,0.6943831168831169,Score
Banking77 (Classification),LLaDA Instruct,instruct,mean_no_special+last,0.6943831168831169,Score
Banking77 (Classification),LLaDA Instruct,instruct,max+last,0.6737337662337662,Score
Banking77 (Classification),LLaDA Instruct,instruct,idf_mean+last,0.6733766233766234,Score
Banking77 (Classification),LLaDA Instruct,instruct,idf_mean+last4,0.6585714285714286,Score
Banking77 (Classification),LLaDA Instruct,instruct,max+last4,0.6487337662337663,Score
Banking77 (Classification),LLaDA Instruct,instruct,max+indices(idx25-32),0.632012987012987,Score
Banking77 (Classification),LLaDA Instruct,instruct,idf_mean+indices(idx25-32),0.6281493506493506,Score
Banking77 (Classification),LLaDA Instruct,instruct,mean+indices(idx13-20),0.6024025974025975,Score
Banking77 (Classification),LLaDA Instruct,instruct,mean_no_special+indices(idx13-20),0.6024025974025975,Score
Banking77 (Classification),LLaDA Instruct,instruct,idf_mean+indices(idx13-20),0.5695129870129869,Score
Banking77 (Classification),LLaDA Instruct,instruct,max+indices(idx13-20),0.5611363636363638,Score
Banking77 (Classification),LLaDA Instruct,instruct,mean+indices(idx1-8),0.5007792207792208,Score
Banking77 (Classification),LLaDA Instruct,instruct,mean_no_special+indices(idx1-8),0.5007792207792208,Score
Banking77 (Classification),LLaDA Instruct,instruct,max+indices(idx1-8),0.4807142857142857,Score
Banking77 (Classification),LLaDA Instruct,instruct,idf_mean+indices(idx1-8),0.4499025974025974,Score
Banking77 (Classification),LLaDA Instruct,instruct,eos+last,0.2000324675324675,Score
Banking77 (Classification),LLaDA Instruct,instruct,eos+last4,0.1394155844155844,Score
Banking77 (Classification),LLaDA Instruct,instruct,eos+indices(idx25-32),0.1071103896103896,Score
Banking77 (Classification),LLaDA Instruct,instruct,eos+indices(idx13-20),0.0917207792207792,Score
Banking77 (Classification),LLaDA Instruct,instruct,eos+indices(idx1-8),0.0653896103896104,Score
Banking77 (Classification),Llama,base,mean_no_special+indices(idx1-8),0.5520779220779221,Score
Banking77 (Classification),Llama,base,mean_no_special+indices(idx25-32),0.5240584415584415,Score
Banking77 (Classification),Llama,base,mean_no_special+indices(idx13-20),0.5191883116883117,Score
Banking77 (Classification),Llama,base,mean_no_special+last4,0.5000649350649351,Score
Banking77 (Classification),Llama,base,idf_mean+indices(idx25-32),0.4813961038961039,Score
Banking77 (Classification),Llama,base,idf_mean+last4,0.463896103896104,Score
Banking77 (Classification),Llama,base,mean_no_special+last,0.4189935064935065,Score
Banking77 (Classification),Llama,base,mean+last4,0.4170779220779221,Score
Banking77 (Classification),Llama,base,mean+last,0.4159090909090909,Score
Banking77 (Classification),Llama,base,idf_mean+last,0.4005194805194804,Score
Banking77 (Classification),Llama,base,max+last,0.381103896103896,Score
Banking77 (Classification),Llama,base,mean+indices(idx25-32),0.3796428571428571,Score
Banking77 (Classification),Llama,base,eos+indices(idx25-32),0.3777272727272727,Score
Banking77 (Classification),Llama,base,max+last4,0.3769155844155843,Score
Banking77 (Classification),Llama,base,idf_mean+indices(idx13-20),0.3767857142857143,Score
Banking77 (Classification),Llama,base,eos+last4,0.3749675324675324,Score
Banking77 (Classification),Llama,base,max+indices(idx25-32),0.3693831168831168,Score
Banking77 (Classification),Llama,base,eos+indices(idx13-20),0.339090909090909,Score
Banking77 (Classification),Llama,base,eos+indices(idx1-8),0.3354220779220779,Score
Banking77 (Classification),Llama,base,eos+last,0.3143506493506493,Score
Banking77 (Classification),Llama,base,idf_mean+indices(idx1-8),0.2892857142857143,Score
Banking77 (Classification),Llama,base,mean+indices(idx1-8),0.2697077922077923,Score
Banking77 (Classification),Llama,base,mean+indices(idx13-20),0.255,Score
Banking77 (Classification),Llama,base,max+indices(idx13-20),0.0129870129870129,Score
Banking77 (Classification),Llama,base,max+indices(idx1-8),0.0129870129870129,Score
Banking77 (Classification),Llama Instruct,instruct,mean_no_special+indices(idx1-8),0.5890909090909091,Score
Banking77 (Classification),Llama Instruct,instruct,mean_no_special+indices(idx25-32),0.5611363636363638,Score
Banking77 (Classification),Llama Instruct,instruct,mean_no_special+indices(idx13-20),0.5492532467532467,Score
Banking77 (Classification),Llama Instruct,instruct,mean_no_special+last4,0.533538961038961,Score
Banking77 (Classification),Llama Instruct,instruct,idf_mean+indices(idx25-32),0.5028571428571429,Score
Banking77 (Classification),Llama Instruct,instruct,idf_mean+last4,0.4946753246753247,Score
Banking77 (Classification),Llama Instruct,instruct,eos+indices(idx25-32),0.4830194805194804,Score
Banking77 (Classification),Llama Instruct,instruct,eos+last4,0.4741883116883117,Score
Banking77 (Classification),Llama Instruct,instruct,mean_no_special+last,0.4486688311688311,Score
Banking77 (Classification),Llama Instruct,instruct,mean+last,0.4460389610389611,Score
Banking77 (Classification),Llama Instruct,instruct,eos+indices(idx13-20),0.4443506493506493,Score
Banking77 (Classification),Llama Instruct,instruct,idf_mean+last,0.4288961038961038,Score
Banking77 (Classification),Llama Instruct,instruct,mean+last4,0.4256493506493506,Score
Banking77 (Classification),Llama Instruct,instruct,max+last,0.4209415584415584,Score
Banking77 (Classification),Llama Instruct,instruct,eos+last,0.4144155844155844,Score
Banking77 (Classification),Llama Instruct,instruct,eos+indices(idx1-8),0.4032467532467533,Score
Banking77 (Classification),Llama Instruct,instruct,max+last4,0.3950324675324675,Score
Banking77 (Classification),Llama Instruct,instruct,mean+indices(idx25-32),0.3754545454545454,Score
Banking77 (Classification),Llama Instruct,instruct,max+indices(idx25-32),0.3704220779220779,Score
Banking77 (Classification),Llama Instruct,instruct,idf_mean+indices(idx13-20),0.3567857142857142,Score
Banking77 (Classification),Llama Instruct,instruct,idf_mean+indices(idx1-8),0.2895454545454545,Score
Banking77 (Classification),Llama Instruct,instruct,mean+indices(idx1-8),0.2807467532467532,Score
Banking77 (Classification),Llama Instruct,instruct,mean+indices(idx13-20),0.2262012987012987,Score
Banking77 (Classification),Llama Instruct,instruct,max+indices(idx13-20),0.0129870129870129,Score
Banking77 (Classification),Llama Instruct,instruct,max+indices(idx1-8),0.0129870129870129,Score
STSBenchmark,LLaDA,base,max+indices(idx1-8),0.5621776968721758,Score
STSBenchmark,LLaDA,base,idf_mean+indices(idx1-8),0.5591075790710041,Score
STSBenchmark,LLaDA,base,idf_mean+indices(idx13-20),0.505578057585458,Score
STSBenchmark,LLaDA,base,mean+indices(idx1-8),0.488581567247655,Score
STSBenchmark,LLaDA,base,mean_no_special+indices(idx1-8),0.488581567247655,Score
STSBenchmark,LLaDA,base,idf_mean+last,0.4488608492227042,Score
STSBenchmark,LLaDA,base,max+last4,0.4453231551803615,Score
STSBenchmark,LLaDA,base,idf_mean+last4,0.431672891809341,Score
STSBenchmark,LLaDA,base,max+last,0.4218407951384934,Score
STSBenchmark,LLaDA,base,idf_mean+indices(idx25-32),0.4194757258208121,Score
STSBenchmark,LLaDA,base,mean+last,0.4184425948195032,Score
STSBenchmark,LLaDA,base,mean_no_special+last,0.4184425948195032,Score
STSBenchmark,LLaDA,base,mean+indices(idx13-20),0.3953073918602088,Score
STSBenchmark,LLaDA,base,mean_no_special+indices(idx13-20),0.3953073918602088,Score
STSBenchmark,LLaDA,base,mean+last4,0.3838576334022337,Score
STSBenchmark,LLaDA,base,mean_no_special+last4,0.3838576334022337,Score
STSBenchmark,LLaDA,base,max+indices(idx25-32),0.3783564092025172,Score
STSBenchmark,LLaDA,base,mean+indices(idx25-32),0.3641241665341824,Score
STSBenchmark,LLaDA,base,mean_no_special+indices(idx25-32),0.3641241665341824,Score
STSBenchmark,LLaDA,base,max+indices(idx13-20),0.2713992069591896,Score
STSBenchmark,LLaDA,base,eos+last4,0.2046085023383253,Score
STSBenchmark,LLaDA,base,eos+last,0.1980395435906781,Score
STSBenchmark,LLaDA,base,eos+indices(idx25-32),0.1884039284573506,Score
STSBenchmark,LLaDA,base,eos+indices(idx1-8),0.1679107473566674,Score
STSBenchmark,LLaDA,base,eos+indices(idx13-20),0.1317328685941866,Score
STSBenchmark,LLaDA Instruct,instruct,idf_mean+last4,0.7246618145267285,Score
STSBenchmark,LLaDA Instruct,instruct,idf_mean+indices(idx25-32),0.6963582717388473,Score
STSBenchmark,LLaDA Instruct,instruct,mean+last4,0.6872261444109976,Score
STSBenchmark,LLaDA Instruct,instruct,mean_no_special+last4,0.6872261444109976,Score
